id,daireKurul,esasNo,kararNo,kararTarihi
1076613100,8. Daire,2021/7874,2024/4186,05.07.2024
1078219200,8. Daire,2018/188,2024/4155,05.07.2024
1080865100,8. Daire,2023/608,2024/4220,05.07.2024
1081248200,8. Daire,2020/5287,2024/4204,05.07.2024
1080864700,8. Daire,2022/4749,2024/4217,05.07.2024
1080430300,8. Daire,2023/609,2024/4219,05.07.2024
1080429700,8. Daire,2024/2480,2024/4202,05.07.2024
1080740000,8. Daire,2024/1328,2024/4168,05.07.2024
1080739900,8. Daire,2021/3988,2024/4176,05.07.2024
1080739800,8. Daire,2022/4744,2024/4198,05.07.2024
1080781500,8. Daire,2020/5561,2024/4208,05.07.2024
1080739300,8. Daire,2021/5568,2024/4203,05.07.2024
1080739400,8. Daire,2021/4647,2024/4181,05.07.2024
1080739600,8. Daire,2021/6015,2024/4183,05.07.2024
1080743300,8. Daire,2024/3668,2024/4184,05.07.2024
1076616300,8. Daire,2024/3207,2024/4101,04.07.2024
1076703500,8. Daire,2021/7198,2024/4138,04.07.2024
1076809900,8. Daire,2019/3026,2024/4129,04.07.2024
1076810900,8. Daire,2022/218,2024/4149,04.07.2024
1076612900,8. Daire,2021/6833,2024/4140,04.07.2024
1076612800,8. Daire,2021/3182,2024/4137,04.07.2024
1078219100,8. Daire,2017/5573,2024/4148,04.07.2024
1078745000,8. Daire,2024/3356,2024/4120,04.07.2024
1079169300,8. Daire,2021/1275,2024/4109,04.07.2024
1079839200,9. Daire,2024/1827,2024/3874,04.07.2024
1079840000,9. Daire,2024/1823,2024/3877,04.07.2024
1079839400,9. Daire,2024/1829,2024/3871,04.07.2024
1079839700,9. Daire,2024/1830,2024/3875,04.07.2024
1079978200,8. Daire,2021/7552,2024/4104,04.07.2024
1079977700,9. Daire,2024/1821,2024/3870,04.07.2024
1081067300,8. Daire,2022/1003,2024/4105,04.07.2024
1081026900,9. Daire,2024/3027,2024/3867,04.07.2024
1081027000,9. Daire,2024/1824,2024/3872,04.07.2024
1081248100,8. Daire,2021/3443,2024/4108,04.07.2024
1081248000,8. Daire,2021/7151,2024/4103,04.07.2024
1079448000,9. Daire,2024/3026,2024/3868,04.07.2024
1079447800,9. Daire,2024/3025,2024/3869,04.07.2024
1079447700,9. Daire,2024/1828,2024/3879,04.07.2024
